Strain/Species,Female 1,Female 1 DOB,Female 2,Female 2 DOB,Female 3,Female 3 DOB,Male 1,Male 1 DOB,Male 2,Male 2 DOB,Date Bred,DOB of Litter,# of Pups Born,Date of Weaning,# of Pups Weaned,# of Females,# of Males,,Animals IDs that are crossed out have been euthanized
Tlr4 KO; Cdh23 KI,1858,4/20/2023,1859,4/20/2023, , ,1860,4/20/2023, , , ,7/1/2023, , ,6,4,2,,
Tlr4 KO; Cdh23 KI,1858,4/20/2023,1859,4/20/2023, , ,1860,4/20/2023, , , ,7/1/2023, , ,6,4,2,,
Tlr4 KO; Cdh23 KI,1858,4/20/2023,1859,4/20/2023, , ,1860,4/20/2023, , , ,8/14/2023, , ,6,3,3,,
Tlr4 KO; Cdh23 KI,2006,7/1/2023, , , , ,2008,7/1/2023, , ,9/22/2023,11/29/2023,9,12/28/2023,8,5,3,,
Tlr4 KO; Cdh23 KI,2006,7/1/2023, , , , ,2008,7/1/2023, , ,9/22/2023,10/17/2023,5,11/9/2023,4, , ,,
Tlr4 KO; Cdh23 KI,2006,7/1/2023, , , , ,2008,7/1/2023, , ,9/22/2023,1/13/2024,5,2/6/2024,5, , ,,
Tlr4 KO; Cdh23 KI,2006,7/1/2023, , , , ,2008,7/1/2023, , ,9/22/2023,3/4/2024, ,Found Dead,Found Dead, , ,,
Tlr4 KO; Cdh23 KI,2006,7/1/2023, , , , ,2008,7/1/2023, , ,9/22/2023,2/6/2024,3,Found Dead,Found Dead, , ,,
Tlr4-loxp; Cdh23 KI,2007,7/1/2023, , , , ,2009,7/1/2023, , ,9/22/2023,10/18/2023,3,11/9/2023,3, , ,,
Tlr4-loxp; Cdh23 KI,2007,7/1/2023, , , , ,2009,7/1/2023, , ,9/22/2023,11/24/2023,10,12/20/2023,10, , ,,
Tlr4-loxp; Cdh23 KI,2007,7/1/2023, , , , ,2009,7/1/2023, , ,9/22/2023,2/28/2024,8,3/25/2024,7,2,5,,
Tlr4-loxp; Cdh23 KI,2007,7/1/2023, , , , ,2009,7/1/2023, , ,9/22/2023,1/3/2024,8,1/24/2024,6, , ,,
Tlr4-loxp; Cdh23 KI,2200,8/14/2023, , , , ,2203,8/14/2023, , ,11/14/2023,12/5/2023,9,12/30/2023,9,4,5,,
Tlr4-loxp; Cdh23 KI,2200,8/14/2023, , , , ,2203,8/14/2023, , ,11/14/2023,2/26/2024,8,Missing,Missing, , ,,
Tlr4-loxp; Cdh23 KI,2200,8/14/2023, , , , ,2203,8/14/2023, , ,11/14/2023,3/21/2024,1,Found Dead,Found Dead, , ,,
Tlr4-loxp; Cdh23 KI,2479,12/5/2023,2480,12/5/2023, , ,2486,12/5/2023, , ,4/10/2024,5/2/2024,7,5/24/2024,6,3,3,,
Tlr4-loxp; Cdh23 KI,2481,12/5/2023,2482,12/5/2023, , ,2485,12/5/2023, , ,4/10/2024,5/5/2024,7,5/27/2024,7,3,4,,
Tlr4-loxp; Cdh23 KI,2481,12/5/2023,2482,12/5/2023, , ,2485,12/5/2023, , ,4/10/2024,5/14/2024,7,6/6/2024,7,5,2,,
Tlr7 KO,1319,9/23/2022, , , , ,1320,9/23/2022, , , ,2/9/2023, , ,9,6,3,,
Tlr7 KO,1321,9/23/2022,1322,9/23/2022, , ,1323,9/23/2022, , , ,3/1/2023, , ,6,3,3,,
Tlr7 KO,1326,2/9/2023,1327,2/9/2023, , ,1331,2/9/2023, , , ,5/18/2023, , ,6,4,2,,
Tlr7 KO,1326,2/9/2023,1327,2/9/2023, , ,1331,2/9/2023, , , ,6/15/2023, , ,9,6,3,,
Tlr7 KO,1815,5/18/2023,1816,5/18/2023, , ,1818,5/18/2023, , ,10/24/2023,8/14/2023, , ,2,1,1,,
Tlr7 KO,1815,5/18/2023,1816,5/18/2023, , ,1818,5/18/2023, , ,10/24/2023,11/16/2023,9,12/4/2023,4,2,2,,
Tlr7 KO,1815,5/18/2023,1816,5/18/2023, , ,1818,5/18/2023, , ,10/24/2023,12/28/2023,12,1/19/2024,12, , ,,
Tlr7 KO,1815,5/18/2023,1816,5/18/2023, , ,1818,5/18/2023, , ,10/24/2023,1/19/2024,Found Dead,Found Dead,Found Dead, , ,,
Tlr7 KO,2433,8/14/2023, , , , ,2434,8/14/2023, , ,10/24/2023,11/16/2023,9,45264,9, , ,,
Tlr7 KO,2433,8/14/2023, , , , ,2434,8/14/2023, , ,10/24/2023,12/28/2023,12,45310,12, , ,,
Tlr7 KO,2433,8/14/2023, , , , ,2434,8/14/2023, , ,10/24/2023,1/19/2024, ,Found Dead,Found Dead, , ,,
Tlr7 KO,2433,8/14/2023, , , , ,2434,8/14/2023, , ,10/24/2023,2/10/2024,9,45356,9, , ,,
Tlr7 KO,2435,11/16/2023, , , , ,2436,11/16/2023, , ,1/19/2024,3/3/2024,5,3/25/2024,5,2,3,,
Tlr7 KO,2435,11/16/2023, , , , ,2436,11/16/2023, , ,1/19/2024,2/12/2024,9,3/5/2024,9, , ,,
Tlr7 KO,2435,11/16/2023, , , , ,2436,11/16/2023, , ,1/19/2024,4/14/2024,6,5/6/2024,6,3,3,,
Tlr7 KO,2435,11/16/2023, , , , ,2436,11/16/2023, , ,1/19/2024,5/6/2024,5,5/28/2024,5,2,3,,
Tlr7 KO,2437,11/16/2023, , , , ,2438,11/16/2023, , ,1/19/2024,3/3/2024,2,3/28/2024,2,1,1,,
Tlr7 KO,2437,11/16/2023, , , , ,2438,11/16/2023, , ,1/19/2024,2/12/2024,6,3/5/2024,4, , ,,
Tlr7 KO,2437,11/16/2023, , , , ,2438,11/16/2023, , ,1/19/2024,4/17/2024,6,5/6/2024,14,6,8,,
Tlr7 KO,2437,11/16/2023, , , , ,2438,11/16/2023, , ,1/19/2024,3/25/2024,8,4/12/2024,8, , ,,
Tlr7 KO,2437,11/16/2023, , , , ,2438,11/16/2023, , ,1/19/2024,5/16/2024,13,6/7/2024,13,5,8,,
Tlr7 KO; Cdh23 KI,1181,11/7/2022, , , , ,1186,10/31/2022, , , ,2/3/2023, , ,6,0,6,,
Tlr7 KO; Cdh23 KI,1181,11/7/2022, , , , ,1186,10/31/2022, , , ,4/19/2023, , ,5,3,2,,
Tlr7 KO; Cdh23 KI,1181,11/7/2022, , , , ,1186,10/31/2022, , , ,6/2/2023, , ,9,4,5,,
Tlr7 KO; Cdh23 KI,1182,11/7/2022, , , , ,1187,10/31/2022, , , ,2/26/2023, ,3/27/2023,7,4,3,,
Tlr7 KO; Cdh23 KI,1182,11/7/2022, , , , ,1187,10/31/2022, , , ,5/6/2023, , ,6,2,4,,
Trpa1 KO,964,9/7/2022, , , , ,967,9/7/2022, , , ,1/31/2023, , ,4,2,2,,
Trpa1 KO,1295,1/31/2023, , , , ,1297,1/31/2023, , , ,6/15/2023, , ,2,1,1,,
Trpa1 KO,1296,1/31/2023, , , , ,1298,1/31/2023, , , ,6/5/2023, , ,2,1,1,,
Trpa1 KO,1296,1/31/2023, , , , ,1298,1/31/2023, , , ,8/2/2023, , ,5,3,2,,
Trpa1 KO,1730,6/5/2023, , , , ,1731,6/5/2023, , , ,12/20/2023, , ,4,2,2,,
Trpa1 KO,1971,8/2/2023, , , , ,1974,8/2/2023, , , ,10/29/2023, , ,4,2,2,,
Trpa1 KO,2249,10/29/2023, , , , ,2250,10/29/2023, , ,1/19/2024,2/7/2024,Found Dead,Found Dead,Found Dead, , ,,
Trpa1 KO,2251,10/29/2023, , , , ,2252,10/29/2023, , ,1/19/2024, , , , , , ,,
Trpa1 KO,2253,12/10/2023, , , , ,2254,12/10/2023, , ,1/19/2024,5/6/2024,2,Missing,Missing,,,,
Trpa1 KO,2253,12/10/2023, , , , ,2254,12/10/2023, , ,1/19/2024,4/11/2024,5,5/6/2024,5,2,3,,
Trpa1 KO,2253,12/10/2023, , , , ,2254,12/10/2023, , ,1/19/2024,2/18/2024,5,3/10/2024,5,2,3,,
Trpa1 KO,2253,12/10/2023, , , , ,2254,12/10/2023, , ,1/19/2024,3/19/2024,5,4/12/2024,4,0,4,,
Trpa1 KO,2643,2/18/2024, , , , ,2644,2/18/2024, , ,3/28/2024,4/18/2024,4,5/10/2024,4,2,2,,
Trpv1 KO,561, ,562, , , ,563, , , , ,12/19/2022, , ,3,1,2,,
Trpv1 KO,989,9/7/2022,990,9/7/2022, , ,996,9/7/2022,997,9/7/2022, ,2/4/2023, , ,6,3,3,,
Trpv1 KO,989,9/7/2022,990,9/7/2022, , ,996,9/7/2022,997,9/7/2022, ,2/4/2023, , ,6,3,3,,
Trpv1 KO,1622,2/4/2023, , , , ,1625,2/4/2023, , , ,8/10/2023, , ,2,1,1,,
Trpv1 KO,1623,2/4/2023, , , , ,1626,2/4/2023, , , ,6/30/2023, , ,5,3,2,,
Trpv1 KO,2465,8/10/2023, , , , ,2466,8/10/2023, , ,9/6/2023,11/28/2023,9,12/22/2023,4,2,2,,
Trpv1 KO,2465,8/10/2023, , , , ,2466,8/10/2023, , ,9/6/2023,10/18/2023,7,11/10/2023,7, , ,,
Trpv1 KO,2465,8/10/2023, , , , ,2466,8/10/2023, , ,9/6/2023,12/28/2023,5,1/19/2024,4, , ,,
Trpv1 KO,2465,8/10/2023, , , , ,2466,8/10/2023, , ,9/6/2023,2/21/2024,9, , , , ,,
Trpv1 KO; B6N-Cdh23 KI,2501,12/25/2023, , , , ,2505,12/25/2023, , ,3/19/2024,5/7/2024,7,5/27/2024,6,1,5,,
Trpv1 KO; B6N-Cdh23 KI,2503,12/25/2023, , , , ,2507,12/25/2023, , ,3/19/2024,5/10/2024,8,Found Dead,Found Dead, ,,,
Trpv1 KO; Cdh23 KI,1000,9/29/2022,1002,9/29/2022, , ,1012,9/29/2022, , , ,12/13/2022, , ,5,1,4,,
Trpv1 KO; Cdh23 KI,1000,9/29/2022,1002,9/29/2022, , ,1012,9/29/2022, , , ,12/6/2022, , ,9,3,6,,
Trpv1 KO; Cdh23 KI,1161,12/13/2022, , , , ,1162,12/13/2022, , , ,4/20/2023, , ,6,3,3,,
Trpv1 KO; Cdh23 KI,1161,12/13/2022, , , , ,1162,12/13/2022, , , ,2/25/2023, ,3/26/2023,5,5,0,,
Trpv1 KO; Cdh23 KI,1167,12/6/2022,1168,12/6/2022, , ,1178,12/6/2022, , , ,2/28/2023, ,3/26/2023,6,0,6,,
Trpv1 KO; Cdh23 KI,1690,4/20/2023, , , , ,1694,4/20/2023, , , ,10/10/2023, , ,3,2,1,,
Trpv1 KO; Cdh23 KI,2498,10/10/2023,2499,10/10/2023, , ,2500,10/10/2023, , ,11/10/2023,12/25/2023, , ,8,4,4,,
Trpv1 KO; Cdh23 KI,2498,10/10/2023,2499,10/10/2023, , ,2500,10/10/2023, , ,11/10/2023,12/25/2023,10,1/19/2024,10, , ,,
Trpv1 KO; Cdh23 KI,2498,10/10/2023,2499,10/10/2023, , ,2500,10/10/2023, , ,11/10/2023,2/10/2024,7,3/1/2024,7, , ,,
Trpv1 KO; Cdh23 KI,2498,10/10/2023,2499,10/10/2023, , ,2500,10/10/2023, , ,11/10/2023,3/5/2024,3,Found Dead,Found Dead, , ,,
Trpv1 KO; Cdh23 KI,2498,10/10/2023,2499,10/10/2023, , ,2500,10/10/2023, , ,11/10/2023,4/29/2024,4,5/20/2024,3,2,1,,
Trpv1 KO; Cdh23 KI,2498,10/10/2023,2499,10/10/2023, , ,2500,10/10/2023, , ,11/10/2023,5/19/2024,3,,,,,,
Trpv1 KO; Cdh23 KI,2498,10/10/2023,2499,10/10/2023, , ,2500,10/10/2023, , ,11/10/2023,4/4/2024,9,4/29/2024,10,5,5,,
Trpv1 KO; Cdh23 KI,2498,10/10/2023,2499,10/10/2023, , ,2500,10/10/2023, , ,11/10/2023,2/6/2024,7, , , , ,,
Trpv1-flox,1449,12/30/2022, , , , ,1453,10/20/2022, , , ,5/25/2023, , ,7,4,3,,
Trpv1-flox,1449,12/30/2022, , , , ,1453,10/20/2022, , , ,3/28/2023, , ,4,4,0,,
Trpv1-flox,1452,10/20/2022, , , , ,1453,10/20/2022, , , ,4/5/2023, , ,2,0,2,,
Trpv1-flox,1452,10/20/2022, , , , ,1453,10/20/2022, , , ,4/27/2023, , ,4,4,0,,
Trpv1-flox,1452,10/20/2022, , , , ,1453,10/20/2022, , , ,5/20/2023, , ,2,1,1,,
Trpv1-flox,1452,10/20/2022, , , , ,1453,10/20/2022, , , ,6/7/2023, , ,2,1,1,,
Trpv1-flox,1630,4/27/2023, , , , ,1628,4/5/2023, , , ,10/23/2023, , ,3,2,1,,
Trpv1-flox,1632,4/27/2023,1633,4/27/2023, , ,1629,4/5/2023, , , ,8/17/2023, , ,6,3,3,,
Trpv1-flox,1632,4/27/2023,1633,4/27/2023, , ,1629,4/5/2023, , , ,11/5/2023, , ,5,3,2,,
Trpv1-flox,1771,4/11/2023, , , , ,1811,5/28/2023, , , ,8/29/2023, , ,4,4,0,,
Trpv1-flox,1793,5/25/2023,1804,5/25/2023, , ,1799,5/25/2023,1797,5/25/2023, ,8/30/2023, , ,12,6,6,,
Trpv1-flox,2410,11/5/2023,2411,11/5/2023, , ,2412,11/5/2023, , ,1/9/2024,1/31/2024,8,2/21/2024,8,5,3,,
Trpv1-flox,2410,11/5/2023,2411,11/5/2023, , ,2412,11/5/2023, , ,1/9/2024,3/21/2024,5,4/12/2024,5,4,1,,
Trpv1-flox,2410,11/5/2023,2411,11/5/2023, , ,2412,11/5/2023, , ,1/9/2024,2/23/2024,8,3/14/2024,6,3,3,,
Trpv1-flox,2410,11/5/2023,2411,11/5/2023, , ,2412,11/5/2023, , ,1/9/2024,5/9/2024,7,5/30/2024,6,4,2,,
Trpv1-flox,2410,11/5/2023,2411,11/5/2023, , ,2412,11/5/2023, , ,1/9/2024,2/4/2024,9,2/27/2024,9, , ,,
Trpv1-flox,2413,10/23/2023, , , , ,2415,10/23/2023, , ,1/9/2024,2/27/2024,8,3/19/2024,8, , ,,
Trpv1-flox,2413,10/23/2023, , , , ,2415,10/23/2023, , ,1/9/2024,2/5/2024,13,2/27/2024,5, , ,,
Trpv1-flox,2413,10/23/2023, , , , ,2415,10/23/2023, , ,1/9/2024,4/7/2024,6,4/26/2024,5,2,3,,
Trpv1-flox,2413,10/23/2023, , , , ,2415,10/23/2023, , ,1/9/2024,3/15/2024,10,4/5/2024,5,3,2,,
Trpv1-flox,2413,10/23/2023, , , , ,2415,10/23/2023, , ,1/9/2024,4/29/2024,7,5/20/2024,9,6,3,,
Trpv1-flox,2413,10/23/2023,2414,10/23/2023, , ,2415,10/23/2023, , ,1/9/2024,1/30/2024,10, , , ,0,,
Trpv1-flox,2413,10/23/2023,2414,10/23/2023,,,2415,10/23/2023,,,1/9/2024,5/19/2024,9,6/6/2024,11,7,4,,
Trpv1-flox,2416,11/5/2023, , , , ,2417,11/5/2023, , ,1/9/2024,1/30/2024,7,2/21/2024,7,4,3,,
Trpv1-flox,2416,11/5/2023, , , , ,2417,11/5/2023, , ,1/9/2024,2/21/2024,7,3/14/2024,7, , ,,
Trpv1-flox,, ,2414,10/23/2023, , ,2415,10/23/2023, , ,1/9/2024,2/5/2024, ,2/27/2024,4,4,0,,
Trpv1-flox; B6N-Cdh23 KI,1645,3/28/2023,1646,3/28/2023, , ,B6N-Cdh23 KI, , , , ,5/25/2023, , ,14,7,7,,
Trpv1-flox; B6N-Cdh23 KI,2043,8/30/2023, , , , ,2049,8/30/2023, , ,11/1/2023,11/24/2023,6,12/20/2023,3, , ,,
Trpv1-flox; B6N-Cdh23 KI,2043,8/30/2023, , , , ,2049,8/30/2023, , ,11/1/2023,2/20/2024,9,3/10/2024,9,7,2,,
Trpv1-flox; B6N-Cdh23 KI,2043,8/30/2023, , , , ,2049,8/30/2023, , ,11/1/2023,12/15/2023,7,1/9/2024,7, , ,,
Trpv1-flox; B6N-Cdh23 KI,2043,8/30/2023, , , , ,2049,8/30/2023, , ,11/1/2023,1/7/2024,8,2/6/2024,8,5,3,,
Trpv1-flox; B6N-Cdh23 KI,2043,8/30/2023, , , , ,2049,8/30/2023, , ,11/1/2023,3/16/2024,7,4/5/2024,5, , ,,
Trpv1-flox; B6N-Cdh23 KI,2043,8/30/2023, , , , ,2049,8/30/2023, , ,11/1/2023,4/9/2024,7,4/29/2024,8,2,6,,
Trpv1-flox; B6N-Cdh23 KI,2043,8/30/2023, , , , ,2049,8/30/2023, , ,11/1/2023,5/2/2024,8,5/21/2024,9,2,7,,
Trpv1-flox; B6N-Cdh23 KI,2648,2/20/2024, , , , ,2655,2/20/2024, , ,4/10/2024,5/3/2024,5,5/22/2024,5,1,4,,
Trpv1-flox; B6N-Cdh23 KI,2648,2/20/2024, , , , ,2655,2/20/2024, , ,4/10/2024,5/21/2024,5,6/10/2024,7,3,4,,
Trpv1-flox; B6N-Cdh23 KI,2649,2/20/2024, , , , ,2656,2/20/2024, , ,4/10/2024,5/11/2024,5,5/31/2024,6,3,,,
B6N,2307,1/8/2024,,,,,2309,1/8/2024,,,5/13/2024,,,,,,,,
B6N,2306,1/23/2024,,,,,2308,1/8/2024,,,5/13/2024,,,,,,,,
B6N-Cdh23 KI; B6N,2750,3/12/2024,,,,,2561,1/31/2024,,,5/13/2024,,,,,,,,
Myd88 KO,2802,4/2/2024,2803,4/2/2024,,,2807,4/2/2024,,,5/13/2024,,,,,,,,
Myd88 KO,2804,4/2/2024,2805,4/2/2024,,,2808,4/2/2024,,,5/13/2024,,,,,,,,
Cachd1 KO,2763,3/13/2024,,,,,2765,3/13/2024,,,5/13/2024,,,,,,,,
Cachd1 KO,2764,3/13/2024,,,,,2766,3/13/2024,,,5/13/2024,,,,,,,,
Trpv1-flox,2768,3/15/2024,,,,,2771,3/15/2024,,,5/13/2024,,,,,,,,
Trpv1-flox,2769,3/15/2024,,,,,2772,3/15/2024,,,5/13/2024,,,,,,,,
Tlr7 KO,2730,3/3/2024,,,,,2728,3/3/2024,,,5/13/2024,,,,,,,,
Tlr7 KO,2731,3/3/2024,,,,,2729,3/3/2024,,,5/13/2024,,,,,,,,
Tlr7 KO,2629,2/12/2024,,,,,2631,2/12/2024,,,5/13/2024,,,,,,,,
Tlr7 KO,2630,2/12/2024,,,,,2632,2/12/2024,,,5/13/2024,,,,,,,,
Myd88-loxp; B6N-Cdh23 KI,2600,2/8/2024,2601,2/8/2024,,,2602,2/8/2024,,,5/17/2024,,,,,,,,
Ifnr KO,2231,1/17/2024,,,,,2234,1/17/2024,,,5/17/2024,,,,,,,,
Ifnr KO,2205,1/11/2024,,,,,2206,1/11/2024,,,5/17/2024,,,,,,,,
Pax2-Cre; Tlr4-loxp; B6N-Cdh23 KI,2549,1/27/2024,,,,,2554,1/27/2024,,,5/14/2024,,,,,,,,
Pax2-Cre; Tlr4-loxp; B6N-Cdh23 KI,2550,1/27/2024,,,,,2555,1/27/2024,,,5/14/2024,,,,,,,,
Pax2-Cre; Tlr4-loxp; B6N-Cdh23 KI,2528,1/12/2024,,,,,2556,1/27/2024,,,5/14/2024,,,,,,,,
Pcdh15 KO; C57BL/6J,2393,12/1/2023,,,,,2829,4/8/2024,,,5/14/2024,,,,,,,,
C57BL/6J; Pcdh15 KO,2826,4/8/2024,,,,,2394,12/1/2023,,,5/14/2024,,,,,,,,
