Mouse ID,Genetic Background,Gender,DOB,Weaning Date,Age,Parent Crossing,Strain 1,Strain 2,Strain 3,Experiments? ,Date of Euthanization,Notes
TRPV1-flox-Cdh23-12152023-1M,,Male,12/15/2023,1/9/2024,,2043/2049,Trpv1-flox,B6N-Cdh23-KI,,,2/8/2024,
TRPV1-flox-Cdh23-12152023-2M,,Male,12/15/2023,1/9/2024,,2043/2049,Trpv1-flox,B6N-Cdh23-KI,,,2/8/2024,
TRPV1-flox-Cdh23-12152023-3M,,Male,12/15/2023,1/9/2024,,2043/2049,Trpv1-flox,B6N-Cdh23-KI,,,2/8/2024,
TRPV1-flox-Cdh23-12152023-4F,,Female,12/15/2023,1/9/2024,,2043/2049,Trpv1-flox,B6N-Cdh23-KI,,,2/8/2024,
TRPV1-flox-Cdh23-12152023-5F,,Female,12/15/2023,1/9/2024,,2043/2049,Trpv1-flox,B6N-Cdh23-KI,,,2/8/2024,
TRPV1-flox-Cdh23-12152023-6F,,Female,12/15/2023,1/9/2024,,2043/2049,Trpv1-flox,B6N-Cdh23-KI,,,2/8/2024,
Pcdh15-01132024-1M,,Male,1/13/2024,2/6/2024,,,Pcdh15,,,,2/7/2024,
Pcdh15-01132024-2M,,Male,1/13/2024,2/6/2024,,,Pcdh15,,,,2/7/2024,
Pcdh15-01132024-3F,,Female,1/13/2024,2/6/2024,,,Pcdh15,,,,2/7/2024,
Pcdh15-01132024-4F,,Female,1/13/2024,2/6/2024,,,Pcdh15,,,,2/7/2024,
Pcdh15-01132024-5F,,Female,1/13/2024,2/6/2024,,,Pcdh15,,,,2/7/2024,
TRPV1-flox-Cdh23-11242023-1F,,Female,11/24/2023,12/20/2024,,2043/2049,Trpv1-flox,B6N-Cdh23-KI,,,2/8/2024,
TRPV1-flox-Cdh23-11242023-2F,,Female,11/24/2023,12/20/2024,,2043/2049,Trpv1-flox,B6N-Cdh23-KI,,,2/8/2024,
TRPV1-flox-Cdh23-11242023-3M,,Male,11/24/2023,12/20/2024,,2043/2049,Trpv1-flox,B6N-Cdh23-KI,,,2/8/2024,
B6N-Cdh23-10302023-1M,,Male,10/30/2023,11/21/2024,,1769/1771,B6N-Cdh23-KI,,,Shreshtha Dash,1/23/2024,
B6N-Cdh23-10302023-2M,,Male,10/30/2023,11/21/2024,,1769/1771,B6N-Cdh23-KI,,,Shreshtha Dash,1/23/2024,
B6N-Cdh23-10302023-3M,,Male,10/30/2023,11/21/2024,,1769/1771,B6N-Cdh23-KI,,,Shreshtha Dash,1/23/2024,
B6N-Cdh23-10302023-4M,,Male,10/30/2023,11/21/2024,,1769/1771,B6N-Cdh23-KI,,,Shreshtha Dash,1/23/2024,
B6N-Cdh23-10302023-5M,,Male,10/30/2023,11/21/2024,,1769/1771,B6N-Cdh23-KI,,,Shreshtha Dash,1/23/2024,
B6N-Cdh23-11152023-1F,,Female,11/15/2023,12/12/2023,,,B6N-Cdh23-KI,,,Shreshtha Dash,1/31/2024,
B6N-Cdh23-11152023-2F,,Female,11/15/2023,12/12/2023,,,B6N-Cdh23-KI,,,Shreshtha Dash,1/31/2024,
B6N-Cdh23-11152023-3F,,Female,11/15/2023,12/12/2023,,,B6N-Cdh23-KI,,,Shreshtha Dash,1/31/2024,
B6N-Cdh23-11152023-4F,,Female,11/15/2023,12/12/2023,,,B6N-Cdh23-KI,,,Shreshtha Dash,1/31/2024,
B6N-Cdh23-11152023-5F,,Female,11/15/2023,12/12/2023,,,B6N-Cdh23-KI,,,Shreshtha Dash,1/31/2024,
B6N-Cdh23-11152023-6F,,Female,11/15/2023,12/12/2023,,,B6N-Cdh23-KI,,,Shreshtha Dash,1/31/2024,
B6N-Cdh23-11152023-7F,,Female,11/15/2023,12/12/2023,,,B6N-Cdh23-KI,,,Shreshtha Dash,1/31/2024,
B6N-Cdh23-11152023-8M,,Male,11/15/2023,12/12/2023,,,B6N-Cdh23-KI,,,Shreshtha Dash,2/19/2024,
B6N-Cdh23-11152023-9M,,Male,11/15/2023,12/12/2023,,,B6N-Cdh23-KI,,,Shreshtha Dash,2/21/2024,
B6N-Cdh23-11152023-10M,,Male,11/15/2023,12/12/2023,,,B6N-Cdh23-KI,,,Shreshtha Dash,2/21/2024,
B6N-Cdh23-11152023-11M,,Male,11/15/2023,12/12/2023,,,B6N-Cdh23-KI,,,Shreshtha Dash,2/21/2024,
B6N-Cdh23-11152023-12M,,Male,11/15/2023,12/12/2023,,,B6N-Cdh23-KI,,,Shreshtha Dash,2/21/2024,
B6N-Cdh23-11152023-13M,,Male,11/15/2023,12/12/2023,,,B6N-Cdh23-KI,,,Shreshtha Dash,2/21/2024,
B6N-Cdh23-01022024-1F,,Female,1/2/2024,2/6/2024,,,B6N-Cdh23-KI,,,,2/19/2024,Collected blood.
B6N-Cdh23-01022024-2F,,Female,1/2/2024,2/6/2024,,,B6N-Cdh23-KI,,,,2/19/2024,Collected blood.
B6N-Cdh23-01022024-3F,,Female,1/2/2024,2/6/2024,,,B6N-Cdh23-KI,,,,2/19/2024,Collected blood.
B6N-Cdh23-01022024-4F,,Female,1/2/2024,2/6/2024,,,B6N-Cdh23-KI,,,,2/19/2024,Collected blood.
B6N-Cdh23-01022024-5F,,Female,1/2/2024,2/6/2024,,,B6N-Cdh23-KI,,,,2/19/2024,Collected blood.
B6N-Cdh23-01022024-6M,,Male,1/2/2024,2/6/2024,,,B6N-Cdh23-KI,,,,2/19/2024,Collected blood.
B6N-Cdh23-01022024-7M,,Male,1/2/2024,2/6/2024,,,B6N-Cdh23-KI,,,,2/19/2024,Collected blood.
B6N-Cdh23-12162023-7F,,Female,12/16/2023,1/9/2024,,,B6N-Cdh23-KI,,,,2/1/2024,
B6N-01082024-1M,,Male,1/8/2024,2/6/2024,,,B6N-Cdh23-KI,,,,,
B6N-01082024-2M,,Male,1/8/2024,2/6/2024,,,B6N-Cdh23-KI,,,,,
B6N-01082024-3F,,Female,1/8/2024,2/6/2024,,,B6N-Cdh23-KI,,,,,
B6N-Cdh23-01202024-1M,,Male,1/20/2024,2/13/2024,,,B6N-Cdh23-KI,,,,2/19/2024,Collected blood.
B6N-Cdh23-01202024-2M,,Male,1/20/2024,2/13/2024,,,B6N-Cdh23-KI,,,,2/19/2024,Collected blood.
B6N-Cdh23-01202024-3M,,Male,1/20/2024,2/13/2024,,,B6N-Cdh23-KI,,,,2/19/2024,Collected blood.
B6N-Cdh23-01202024-4M,,Male,1/20/2024,2/13/2024,,,B6N-Cdh23-KI,,,,2/19/2024,Collected blood.
B6N-Cdh23-01202024-5M,,Male,1/20/2024,2/13/2024,,,B6N-Cdh23-KI,,,,2/19/2024,Collected blood.
B6N-Cdh23-01202024-6M,,Male,1/20/2024,2/13/2024,,,B6N-Cdh23-KI,,,,2/19/2024,Collected blood.
B6N-Cdh23-01202024-7M,,Male,1/20/2024,2/13/2024,,,B6N-Cdh23-KI,,,,2/19/2024,Collected blood.
B6N-Cdh23-01202024-8M,,Male,1/20/2024,2/13/2024,,,B6N-Cdh23-KI,,,,2/19/2024,Collected blood.
MyD88-KO-01152024-1M,,Male,1/15/2024,2/8/2024,,"1985, 1986/1987",Myd88-KO,,,,2/19/2024,Collected blood.
MyD88-KO-01152024-2M,,Male,1/15/2024,2/8/2024,,"1985, 1986/1987",Myd88-KO,,,,2/19/2024,Collected blood.
MyD88-KO-01152024-3M,,Male,1/15/2024,2/8/2024,,"1985, 1986/1987",Myd88-KO,,,,2/19/2024,Collected blood.
MyD88-KO-01152024-4M,,Male,1/15/2024,2/8/2024,,"1985, 1986/1987",Myd88-KO,,,,2/19/2024,Collected blood.
MyD88-KO-01152024-5M,,Male,1/15/2024,2/8/2024,,"1985, 1986/1987",Myd88-KO,,,,2/19/2024,Collected blood.
MyD88-KO-01152024-6M,,Male,1/15/2024,2/8/2024,,"1985, 1986/1987",Myd88-KO,,,,2/19/2024,Collected blood.
TLR4-loxp-Cdh23-01132024-1F,,Female,1/13/2024,2/6/2024,,,Tlr4-loxp,B6N-Cdh23-KI,,,2/19/2024,Collected blood.
TRPV1-flox-12102023-1F,,Female,12/10/2023,12/31/2023,,,Trpv1-flox,,,,1/19/2024,
TRPV1-flox-12102023-2F,,Female,12/10/2023,12/31/2023,,,Trpv1-flox,,,,1/19/2024,
TRPV1-flox-12102023-3F,,Female,12/10/2023,12/31/2023,,,Trpv1-flox,,,,1/19/2024,
TRPV1-flox-12102023-4F,,Female,12/10/2023,12/31/2023,,,Trpv1-flox,,,,2/19/2024,
TRPV1-flox-12102023-5F,,Female,12/10/2023,12/31/2023,,,Trpv1-flox,,,,2/19/2024,
TRPV1-flox-12102023-6F,,Female,12/10/2023,12/31/2023,,,Trpv1-flox,,,,2/19/2024,
TRPV1-flox-12102023-7F,,Female,12/10/2023,12/31/2023,,,Trpv1-flox,,,,2/19/2024,
TRPV1-flox-11162023-1M,,Male,11/16/2023,12/12/2023,,1630/1628,Trpv1-flox,,,,2/19/2024,
TRPV1-flox-11162023-2M,,Male,11/16/2023,12/12/2023,,1630/1628,Trpv1-flox,,,,2/19/2024,
TRPV1-flox-11162023-3M,,Male,11/16/2023,12/12/2023,,1630/1628,Trpv1-flox,,,,2/19/2024,
TRPV1-flox-11162023-4F,,Female,11/16/2023,12/12/2023,,1630/1628,Trpv1-flox,,,,2/19/2024,
TRPV1-flox-11162023-5F,,Female,11/16/2023,12/12/2023,,1630/1628,Trpv1-flox,,,,2/19/2024,
TRPV1-flox-11162023-6F,,Female,11/16/2023,12/12/2023,,1630/1628,Trpv1-flox,,,,2/19/2024,
Cachd1-12162023-1M,,Male,12/16/2023,1/9/2024,,1743/1744,Cachd1,,,,2/1/2024,
Pax2-Cre-TLR4-loxp-01132024-1M,,Male,1/13/2024,2/16/2024,,,Pax2-Cre,Tlr4-loxp,B6N-Cdh23-KI,,,
Pax2-Cre-TLR4-loxp-01132024-2M,,Male,1/13/2024,2/16/2024,,,Pax2-Cre,Tlr4-loxp,B6N-Cdh23-KI,,,
Pax2-Cre-TLR4-loxp-01132024-3M,,Male,1/13/2024,2/16/2024,,,Pax2-Cre,Tlr4-loxp,B6N-Cdh23-KI,,,
Pax2-Cre-TLR4-loxp-01132024-4M,,Male,1/13/2024,2/16/2024,,,Pax2-Cre,Tlr4-loxp,B6N-Cdh23-KI,,,
TLR4-KO-10312023-5M,,Male,10/31/2023,11/21/2023,,"2013, 2014/2017 / 2012/2016",Tlr4 KO,,,,2/20/2024,Collected blood.
TLR4-KO-10312023-6M,,Male,10/31/2023,11/21/2023,,"2013, 2014/2017 / 2012/2016",Tlr4 KO,,,,2/20/2024,Collected blood.
TLR4-KO-10312023-7M,,Male,10/31/2023,11/21/2023,,"2013, 2014/2017 / 2012/2016",Tlr4 KO,,,,2/20/2024,Collected blood.
TLR4-KO-10312023-8M,,Male,10/31/2023,11/21/2023,,"2013, 2014/2017 / 2012/2016",Tlr4 KO,,,,2/20/2024,Collected blood.
TLR4-KO-10312023-1F,,Female,10/31/2023,11/21/2023,,"2013, 2014/2017 / 2012/2016",Tlr4 KO,,,,2/20/2024,Collected blood.
TLR4-KO-10312023-2F,,Female,10/31/2023,11/21/2023,,"2013, 2014/2017 / 2012/2016",Tlr4 KO,,,,2/20/2024,Collected blood.
TLR4-KO-10312023-3F,,Female,10/31/2023,11/21/2023,,"2013, 2014/2017 / 2012/2016",Tlr4 KO,,,,2/20/2024,Collected blood.
TLR4-KO-10312023-4F,,Female,10/31/2023,11/21/2023,,"2013, 2014/2017 / 2012/2016",Tlr4 KO,,,,2/20/2024,"Collected blood. Possibly blind, visible cataracts in both eyes. "
Pax2-Cre-TLR4-loxp-Cdh23-12182023-9M,,Male,12/18/2023,1/15/2024,,2199/2173,Pax2-Cre,Tlr4-loxp,B6N-Cdh23-KI,,,
Pax2-Cre-TLR4-loxp-Cdh23-12182023-10M,,Male,12/18/2023,1/15/2024,,2199/2173,Pax2-Cre,Tlr4-loxp,B6N-Cdh23-KI,,,
TRPV1-KO-12282023-1F,,Female,12/28/2023,1/19/2024,,1622/1625,Trpv1 KO,,,,,
TRPV1-KO-12282023-2F,,Female,12/28/2023,1/19/2024,,1622/1625,Trpv1 KO,,,,,
TRPV1-KO-12282023-3M,,Male,12/28/2023,1/19/2024,,1622/1625,Trpv1 KO,,,,,
TRPV1-KO-12282023-4M,,Male,12/28/2023,1/19/2024,,1622/1625,Trpv1 KO,,,,,
TLR4-loxp-Cdh23-01132024-2M,,Male,1/13/2024,2/6/2024,,,Tlr4-loxp,B6N-Cdh23-KI,,,,
TLR4-loxp-Cdh23-01132024-3M,,Male,1/13/2024,2/6/2024,,,Tlr4-loxp,B6N-Cdh23-KI,,,,
TLR4-loxp-Cdh23-01132024-4M,,Male,1/13/2024,2/6/2024,,,Tlr4-loxp,B6N-Cdh23-KI,,,,
TLR4-loxp-Cdh23-01132024-5M,,Male,1/13/2024,2/6/2024,,,Tlr4-loxp,B6N-Cdh23-KI,,,,
B6N-01232024-1M,,Male,1/23/2024,2/16/2024,,,B6N (C57BL/6N),,,,2/21/2024,Collected blood and tissues. 
B6N-01232024-2M,,Male,1/23/2024,2/16/2024,,,B6N (C57BL/6N),,,,2/21/2024,Collected blood and tissues. 
B6N-01232024-3M,,Male,1/23/2024,2/16/2024,,,B6N (C57BL/6N),,,,2/21/2024,Collected blood and tissues. 
DP16-12282023-4F,,Female,12/28/2023,1/19/2024,,2098/2074,DP16,,,,,UC
Tlr7-KO-03032024-1F,,Female,3/3/2024,3/28/2024,,2437/2438,Tlr7 KO,,,,3/28/2024,
Tlr7-KO-03032024-2M,,Male,3/3/2024,3/28/2024,,2437/2438,Tlr7 KO,,,,3/28/2024,
Pax2-Cre-Tlr4-loxp-Cdh23-03092024-1F,,Female,3/9/2024,3/28/2024,,"2004, 2005/1704",Pax2-Cre,Tlr4-loxp,B6N-Cdh23-KI,,3/28/2024,
Pax2-Cre-Tlr4-loxp-Cdh23-03092024-2F,,Female,3/9/2024,3/28/2024,,"2004, 2005/1704",Pax2-Cre,Tlr4-loxp,B6N-Cdh23-KI,,3/28/2024,
Pax2-Cre-Tlr4-loxp-Cdh23-03092024-3M,,Male,3/9/2024,3/28/2024,,"2004, 2005/1704",Pax2-Cre,Tlr4-loxp,B6N-Cdh23-KI,,3/28/2024,
Pax2-Cre-Tlr4-loxp-Cdh23-03092024-4M,,Male,3/9/2024,3/28/2024,,"2004, 2005/1704",Pax2-Cre,Tlr4-loxp,B6N-Cdh23-KI,,3/28/2024,
Pax2-Cre-Tlr4-loxp-Cdh23-03092024-5M,,Male,3/9/2024,3/28/2024,,"2004, 2005/1704",Pax2-Cre,Tlr4-loxp,B6N-Cdh23-KI,,3/28/2024,
Pax2-Cre-Tlr4-loxp-Cdh23-03092024-6F,,Female,3/9/2024,3/28/2024,,2198/2172,Pax2-Cre,Tlr4-loxp,B6N-Cdh23-KI,,3/28/2024,
Pax2-Cre-Tlr4-loxp-Cdh23-03092024-7F,,Female,3/9/2024,3/28/2024,,2198/2172,Pax2-Cre,Tlr4-loxp,B6N-Cdh23-KI,,3/28/2024,
Pax2-Cre-Tlr4-loxp-Cdh23-03092024-8F,,Female,3/9/2024,3/28/2024,,2198/2172,Pax2-Cre,Tlr4-loxp,B6N-Cdh23-KI,,3/28/2024,
Pax2-Cre-Tlr4-loxp-Cdh23-03092024-9M,,Male,3/9/2024,3/28/2024,,2198/2172,Pax2-Cre,Tlr4-loxp,B6N-Cdh23-KI,,3/28/2024,
Pax2-Cre-Tlr4-loxp-Cdh23-03092024-10M,,Male,3/9/2024,3/28/2024,,2198/2172,Pax2-Cre,Tlr4-loxp,B6N-Cdh23-KI,,3/28/2024,
Pax2-Cre-Tlr4-loxp-Cdh23-03092024-11M,,Male,3/9/2024,3/28/2024,,2198/2172,Pax2-Cre,Tlr4-loxp,B6N-Cdh23-KI,,3/28/2024,
Pax2-Cre-Tlr4-loxp-Cdh23-03092024-12M,,Male,3/9/2024,3/28/2024,,2198/2172,Pax2-Cre,Tlr4-loxp,B6N-Cdh23-KI,,3/28/2024,
Pax2-Cre-Tlr4-loxp-Cdh23-03092024-13M,,Male,3/9/2024,3/28/2024,,2198/2172,Pax2-Cre,Tlr4-loxp,B6N-Cdh23-KI,,3/28/2024,
Pax2-Cre-Tlr4-loxp-Cdh23-03092024-14M,,Male,3/9/2024,3/28/2024,,2198/2172,Pax2-Cre,Tlr4-loxp,B6N-Cdh23-KI,,3/28/2024,
Pax2-Cre-Tlr4-loxp-Cdh23-03092024-15M,,Male,3/9/2024,3/28/2024,,2198/2172,Pax2-Cre,Tlr4-loxp,B6N-Cdh23-KI,,3/28/2024,
Pax2-Cre-Tlr4-loxp-Cdh23-03102024-1F,,Female,3/10/2024,3/28/2024,,2199/2173,Pax2-Cre,Tlr4-loxp,B6N-Cdh23-KI,,3/28/2024,
Pax2-Cre-Tlr4-loxp-Cdh23-03102024-2F,,Female,3/10/2024,3/28/2024,,2199/2173,Pax2-Cre,Tlr4-loxp,B6N-Cdh23-KI,,3/28/2024,
Pax2-Cre-Tlr4-loxp-Cdh23-03102024-3M,,Male,3/10/2024,3/28/2024,,2199/2173,Pax2-Cre,Tlr4-loxp,B6N-Cdh23-KI,,3/28/2024,
Pax2-Cre-Tlr4-loxp-Cdh23-03102024-4M,,Male,3/10/2024,3/28/2024,,2199/2173,Pax2-Cre,Tlr4-loxp,B6N-Cdh23-KI,,3/28/2024,
Pax2-Cre-Tlr4-loxp-Cdh23-03102024-5M,,Male,3/10/2024,3/28/2024,,2199/2173,Pax2-Cre,Tlr4-loxp,B6N-Cdh23-KI,,3/28/2024,
Pax2-Cre-Tlr4-loxp-Cdh23-03102024-6M,,Male,3/10/2024,3/28/2024,,2199/2173,Pax2-Cre,Tlr4-loxp,B6N-Cdh23-KI,,3/28/2024,
Pax2-Cre-Tlr4-loxp-Cdh23-03102024-7M,,Male,3/10/2024,3/28/2024,,2199/2173,Pax2-Cre,Tlr4-loxp,B6N-Cdh23-KI,,3/28/2024,
Pax2-Cre-Tlr4-loxp-Cdh23-03102024-8M,,Male,3/10/2024,3/28/2024,,2199/2173,Pax2-Cre,Tlr4-loxp,B6N-Cdh23-KI,,3/28/2024,
Pax2-Cre-Tlr4-loxp-Cdh23-03102024-9M,,Male,3/10/2024,3/28/2024,,2199/2173,Pax2-Cre,Tlr4-loxp,B6N-Cdh23-KI,,3/28/2024,
Pax2-Cre-Tlr4-loxp-Cdh23-03102024-10M,,Male,3/10/2024,3/28/2024,,2199/2173,Pax2-Cre,Tlr4-loxp,B6N-Cdh23-KI,,3/28/2024,
Pax2-Cre-Tlr4-loxp-Cdh23-03102024-11M,,Male,3/10/2024,3/28/2024,,2199/2173,Pax2-Cre,Tlr4-loxp,B6N-Cdh23-KI,,3/28/2024,
Pax2-Cre-Tlr4-loxp-Cdh23-03102024-12M,,Male,3/10/2024,3/28/2024,,2199/2173,Pax2-Cre,Tlr4-loxp,B6N-Cdh23-KI,,3/28/2024,
Dp16-03092024-1F,,Female,3/9/2024,3/28/2024,,2100/2073,Dp16,,,,3/28/2024,
Dp16-03092024-2F,,Female,3/9/2024,3/28/2024,,2100/2073,Dp16,,,,3/28/2024,
Dp16-03092024-3F,,Female,3/9/2024,3/28/2024,,2100/2073,Dp16,,,,3/28/2024,
Dp16-03092024-4F,,Female,3/9/2024,3/28/2024,,2100/2073,Dp16,,,,3/28/2024,
Dp16-03092024-5F,,Female,3/9/2024,3/28/2024,,2100/2073,Dp16,,,,3/28/2024,
Dp16-03092024-6M,,Male,3/9/2024,3/28/2024,,2100/2073,Dp16,,,,3/28/2024,
Dp16-03092024-7M,,Male,3/9/2024,3/28/2024,,2100/2073,Dp16,,,,3/28/2024,
Dp16-03092024-8M,,Male,3/9/2024,3/28/2024,,2100/2073,Dp16,,,,3/28/2024,
Dp16-03092024-9M,,Male,3/9/2024,3/28/2024,,2100/2073,Dp16,,,,3/28/2024,
Dp16-03092024-10M,,Male,3/9/2024,3/28/2024,,2100/2073,Dp16,,,,3/28/2024,
Ifnr-KO-03192024-1,,Too small to determine,3/19/2024,4/2/2024,,2098/2074,Ifnr-KO,,,,4/2/2024,Euthanized before ready to wean because we had enough Dp16 mice
Ifnr-KO-03192024-2,,Too small to determine,3/19/2024,4/2/2024,,2098/2074,Ifnr-KO,,,,4/2/2024,Euthanized before ready to wean because we had enough Dp16 mice
Ifnr-KO-03192024-3,,Too small to determine,3/19/2024,4/2/2024,,2098/2074,Ifnr-KO,,,,4/2/2024,Euthanized before ready to wean because we had enough Dp16 mice
Ifnr-KO-03192024-4,,Too small to determine,3/19/2024,4/2/2024,,2098/2074,Ifnr-KO,,,,4/2/2024,Euthanized before ready to wean because we had enough Dp16 mice
Ifnr-KO-03192024-5,,Too small to determine,3/19/2024,4/2/2024,,2098/2074,Ifnr-KO,,,,4/2/2024,Euthanized before ready to wean because we had enough Dp16 mice
Ifnr-KO-03192024-6,,Too small to determine,3/19/2024,4/2/2024,,2098/2074,Ifnr-KO,,,,4/2/2024,Euthanized before ready to wean because we had enough Dp16 mice
Ifnr-KO-03192024-7,,Too small to determine,3/19/2024,4/2/2024,,2098/2074,Ifnr-KO,,,,4/2/2024,Euthanized before ready to wean because we had enough Dp16 mice
Ifnr-KO-03192024-8,,Too small to determine,3/19/2024,4/2/2024,,2098/2074,Ifnr-KO,,,,4/2/2024,Euthanized before ready to wean because we had enough Dp16 mice
Ifnr-KO-03192024-9,,Too small to determine,3/19/2024,4/2/2024,,2098/2074,Ifnr-KO,,,,4/2/2024,Euthanized before ready to wean because we had enough Dp16 mice
Ifnr-KO-03192024-10,,Too small to determine,3/19/2024,4/2/2024,,2098/2074,Ifnr-KO,,,,4/2/2024,Euthanized before ready to wean because we had enough Dp16 mice
Ifnr-KO-03192024-11,,Too small to determine,3/19/2024,4/2/2024,,2098/2074,Ifnr-KO,,,,4/2/2024,Euthanized before ready to wean because we had enough Dp16 mice
Ifnr-KO-03192024-12,,Too small to determine,3/19/2024,4/2/2024,,2098/2074,Ifnr-KO,,,,4/2/2024,Euthanized before ready to wean because we had enough Dp16 mice
Ifnr-KO-03182024-1F,,Female,3/18/2024,4/2/2024,,2099/2076,Ifnr-KO,,,,4/2/2024,Euthanized before ready to wean because we had enough Dp16 mice
